time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-08 00:00:00+00:00,6,4,1,1
2026-01-09 00:00:00+00:00,15,7,1,1
2026-01-10 00:00:00+00:00,8,4,0,0
2026-01-11 00:00:00+00:00,15,7,0,0
2026-01-12 00:00:00+00:00,22,7,5,1
2026-01-13 00:00:00+00:00,8,4,12,1
2026-01-14 00:00:00+00:00,3,3,4,3
2026-01-15 00:00:00+00:00,16,6,0,0
2026-01-16 00:00:00+00:00,14,6,3,1
2026-01-17 00:00:00+00:00,14,6,0,0
2026-01-18 00:00:00+00:00,16,8,8,3
2026-01-19 00:00:00+00:00,4,4,2,1
2026-01-20 00:00:00+00:00,10,6,0,0
2026-01-21 00:00:00+00:00,3,3,0,0
